year,month,rain_mm,Kinneret_Level_end_of_month,tmp_air_max,tmp_air_min,rain_day,sns_drt,Date,Kinneret_Level_end_of_last_month,Change_from_last_month,tmp_air_max_binned,tmp_air_min_binned
1993,5,250.65851211414093,-208.81,25.652073732718897,13.339170506912446,17,553.5483870967741,1993-05-01,-208.85,0.03999999999999204,23-28,12-16
1993,6,23.183482040722943,-208.92,30.95118253968253,17.61319214703425,4,731.4,1993-06-01,-208.81,-0.10999999999998522,28-31,16-19
1993,7,0.0,-209.1,31.636075102366924,19.291841106561474,0,732.0,1993-07-01,-208.92,-0.18000000000000682,31-34,16-19
1993,8,0.0,-209.31,32.36927803379417,20.375046082949314,0,691.0645161290323,1993-08-01,-209.1,-0.21000000000000796,31-34,19-23
1993,9,1.3571428571428572,-209.52,30.791904761904757,18.13555555555556,1,623.1,1993-09-01,-209.31,-0.21000000000000796,28-31,16-19
1993,10,368.31819423991914,-209.7,30.234500768049152,17.92057603686636,19,534.0967741935484,1993-10-01,-209.52,-0.1799999999999784,28-31,16-19
1993,11,401.12003124376025,-209.81,21.30587301587302,11.499395989974941,15,409.5,1993-11-01,-209.7,-0.11000000000001364,17-23,8-12
1993,12,239.47630164390904,-209.89,19.664454685099845,9.786835637480797,14,347.51612903225805,1993-12-01,-209.81,-0.07999999999998408,17-23,8-12
1994,1,1779.4802222070941,-209.73,16.908294930875577,8.998095238095237,24,300.51612903225805,1994-01-01,-209.89,0.1599999999999966,11-17,8-12
1994,2,1149.2682873599563,-209.41,16.086564625850343,7.42312925170068,22,394.85714285714283,1994-02-01,-209.73,0.3199999999999932,11-17,3-8
1994,3,804.2454522132259,-209.1,18.49466973886329,8.4673732718894,23,456.61290322580646,1994-03-01,-209.41,0.3100000000000023,17-23,8-12
1994,5,51.24317666460524,-209.31,28.705042444821732,15.052733446519527,8,678.3225806451613,1994-05-01,-209.1,-0.21000000000000796,23-28,12-16
1994,6,0.5,-209.6,29.58342105263157,17.392359649122806,1,731.4,1994-06-01,-209.31,-0.28999999999999204,28-31,16-19
1994,7,0.0,-210.04,31.003607809847196,20.01112903225806,0,721.1612903225806,1994-07-01,-209.6,-0.4399999999999977,28-31,19-23
1994,8,6.0,-210.37,32.043064516129036,20.17838709677419,2,691.258064516129,1994-08-01,-210.04,-0.3300000000000125,31-34,19-23
1994,9,216.64722222222218,-210.66,32.194210526315786,20.205964912280702,7,596.0,1994-09-01,-210.37,-0.28999999999999204,31-34,19-23
1994,10,494.71881285318386,-210.93,30.463157894736835,18.58149405772496,15,496.64516129032256,1994-10-01,-210.66,-0.27000000000001023,28-31,16-19
1994,11,2867.035204412404,-210.88,19.53105263157895,11.72526315789474,26,302.9,1994-11-01,-210.93,0.05000000000001137,17-23,8-12
1994,12,1825.5579337826132,-210.23,14.501358234295417,6.743293718166384,17,357.19354838709677,1994-12-01,-210.88,0.6500000000000057,11-17,3-8
1995,1,658.2815689896372,-209.76,15.782512733446518,7.215789473684208,19,372.6774193548387,1995-01-01,-210.23,0.46999999999999886,11-17,3-8
1995,2,2604.6764955939966,-209.24,16.697766475011058,6.758571290358248,17,421.92857142857144,1995-02-01,-209.76,0.5199999999999818,11-17,3-8
1995,3,339.59621309527637,-209.08,19.5125636672326,8.128013582342952,16,499.258064516129,1995-03-01,-209.24,0.1599999999999966,17-23,3-8
